Number,Street,County,Zipcode,Longitude,Latitude
101,Bowdoin St,Kennebec,04364,-69.9721524,44.3100514
105,Bowdoin St,Kennebec,04364,-69.9720541,44.3101738
111,Bowdoin St,Kennebec,04364,-69.9719811,44.3103094
117,Bowdoin St,Kennebec,04364,-69.9718027,44.3105135
18,Coady Ln,Kennebec,04364,-69.9735898,44.3093999
23,Coady Ln,Kennebec,04364,-69.9739074,44.3096493
51,Cottage Rd,Kennebec,04364,-69.9613069,44.3373186
64,Cottage Rd,Kennebec,04364,-69.9603608,44.336998
74,Cottage Rd,Kennebec,04364,-69.9603511,44.3364039
76,Cottage Rd,Kennebec,04364,-69.9593585,44.3359171
88,Cottage Rd,Kennebec,04364,-69.9600274,44.3350111
94,Cottage Rd,Kennebec,04364,-69.9602169,44.3343253
106,Cottage Rd,Kennebec,04364,-69.9609757,44.3335537
114,Cottage Rd,Kennebec,04364,-69.9615342,44.333576
116,Cottage Rd,Kennebec,04364,-69.9615334,44.3331439
142,Cottage Rd,Kennebec,04364,-69.9626665,44.332252
121,Hanson St,Kennebec,04364,-69.9691726,44.311076
1126,Memorial Dr,Kennebec,04364,-69.9387254,44.339154
1280,Memorial Dr,Kennebec,04364,-69.934941,44.3488812
17,Morrill St,Kennebec,04364,-69.9733845,44.3091181
162,Route 133,Kennebec,04364,-69.9767974,44.3088909
190,Route 133,Kennebec,04364,-69.9773471,44.3106598
196,Route 133,Kennebec,04364,-69.9775679,44.3111215
199,Route 133,Kennebec,04364,-69.977042,44.3115447
15,Second Cove Rd,Kennebec,04364,-69.9761696,44.3129971
16,Second Cove Rd,Kennebec,04364,-69.9761193,44.3133667
14,Simpson Ln,Kennebec,04364,-69.9389002,44.3398863
38,Simpson Ln,Kennebec,04364,-69.938375,44.3411735
51,Sunset Pass Ln,Kennebec,04364,-69.9375216,44.3439039
236,Tallwood Rd,Kennebec,04364,-69.954563,44.3434162
240,Tallwood Rd,Kennebec,04364,-69.954732,44.3430096
243,Tallwood Rd,Kennebec,04364,-69.955566,44.3429891
250,Tallwood Rd,Kennebec,04364,-69.9551729,44.3423487
257,Tallwood Rd,Kennebec,04364,-69.9558952,44.3420186
160,Memorial Dr,Kennebec,04364,-69.9667281,44.3156883
6,Birch St,Kennebec,04364,-69.9770459,44.3091318
20,Forest Ave,Kennebec,04364,-69.9686214,44.3118685
28,Forest Ave,Kennebec,04364,-69.9685959,44.3122243
30,Summer St,Kennebec,04364,-69.9751669,44.3084772
50,Forest Ave,Kennebec,04364,-69.9692944,44.3123849
82,Bowdoin St,Kennebec,04364,-69.9729441,44.3094009
974,Memorial Dr,Kennebec,04364,-69.9459906,44.3373205
7,Birch St,Kennebec,04364,-69.9772783,44.3095395
7,Second Cove Rd,Kennebec,04364,-69.976265,44.3127037
19,Summer St,Kennebec,04364,-69.9741189,44.3087967
81,Bowdoin St,Kennebec,04364,-69.972609,44.3092282
97,Green St,Kennebec,04364,-69.9703989,44.3105435
74,Beechwood Rd,Kennebec,04364,-69.9463003,44.3363006
38,Beechwood Dr,Kennebec,04364,-69.9454349,44.337091
910,Memorial Dr,Kennebec,04364,-69.9478184,44.3355407
918,Memorial Dr,Kennebec,04364,-69.9473422,44.3359588
776,Memorial Dr,Kennebec,04364,-69.9504037,44.3313509
677,Memorial Dr,Kennebec,04364,-69.9526219,44.3285235
665,Memorial Dr,Kennebec,04364,-69.9528263,44.3283642
668,Memorial Dr,Kennebec,04364,-69.9535112,44.328444
656,Memorial Dr,Kennebec,04364,-69.9537705,44.3281943
648,Memorial Dr,Kennebec,04364,-69.9540677,44.3279622
515,Memorial Dr,Kennebec,04364,-69.9554362,44.3241831
501,Memorial Dr,Kennebec,04364,-69.955461,44.3237777
464,Memorial Dr,Kennebec,04364,-69.956349,44.322861
421,Memorial Dr,Kennebec,04364,-69.9563231,44.3216503
384,Memorial Dr,Kennebec,04364,-69.9573509,44.3204623
320,Memorial Dr,Kennebec,04364,-69.9598741,44.3183119
146,Memorial Dr,Kennebec,04364,-69.9673942,44.315399
121,Memorial Dr,Kennebec,04364,-69.9673989,44.3145437
53,Forest Ave,Kennebec,04364,-69.969259,44.3128984
43,Forest Ave,Kennebec,04364,-69.9687861,44.3127314
102,Green St,Kennebec,04364,-69.970883,44.3106294
96,Green St,Kennebec,04364,-69.9708612,44.3104495
11,Coady Ln,Kennebec,04364,-69.9732683,44.3096728
90,Bowdoin St,Kennebec,04364,-69.973425,44.3100495
76,Bowdoin St,Kennebec,04364,-69.972972,44.3091936
38,Sunset Pass Ln,Kennebec,04364,-69.9375084,44.3434719
39,McVicker Ln,Kennebec,04364,-69.9366701,44.3459771
41,McVicker Ln,Kennebec,04364,-69.9369631,44.3458577
47,McVicker Ln,Kennebec,04364,-69.9373583,44.3454673
8,Morrill St,Kennebec,04364,-69.9736869,44.3088274
90,Cottage Rd,Kennebec,04364,-69.9599564,44.3345076
96,Cottage Rd,Kennebec,04364,-69.9604317,44.3340399
104,Cottage Rd,Kennebec,04364,-69.9605587,44.3337508
122,Cottage Rd,Kennebec,04364,-69.9620283,44.3327256
132,Cottage Rd,Kennebec,04364,-69.9621787,44.3323327
144,Cottage Rd,Kennebec,04364,-69.9629203,44.3320428
150,Cottage Rd,Kennebec,04364,-69.9632286,44.3317206
85,Maranacook Station Ln,Kennebec,04364,-69.9575525,44.3463396
75,Maranacook Station Ln,Kennebec,04364,-69.9575081,44.3455387
34,Maranacook Station Ln,Kennebec,04364,-69.9580444,44.3441883
50,Maranacook Station Ln,Kennebec,04364,-69.9585201,44.3429734
210,Tallwood Rd,Kennebec,04364,-69.9533937,44.3444163
193,Tallwood Rd,Kennebec,04364,-69.9527941,44.3457402
120,Big Pines Ln,Kennebec,04355,-69.9529994,44.3576358
168,Thorp Shores Rd,Kennebec,04355,-69.9505566,44.3745772
139,Thorp Shores Rd,Kennebec,04355,-69.9486633,44.3727608
3,Acadia Ln,Kennebec,04355,-69.9507989,44.380238
108,Big Pines Ln,Kennebec,04355,-69.9543794,44.3552926
116,Big Pines Ln,Kennebec,04355,-69.9532159,44.3574405
128,Big Pines Ln,Kennebec,04355,-69.9527934,44.3580877
140,Big Pines Ln,Kennebec,04355,-69.9527742,44.3588351
18,Brann Dr,Kennebec,04355,-69.9515054,44.3781299
20,Brann Dr,Kennebec,04355,-69.9515848,44.3783813
10,Brown Ln,Kennebec,04355,-69.9594294,44.3521848
12,Brown Ln,Kennebec,04355,-69.9596392,44.3523541
11,N Campers Point Rd,Kennebec,04355,-69.9578968,44.3497623
31,N Campers Point Rd,Kennebec,04355,-69.9577767,44.3508617
33,N Campers Point Rd,Kennebec,04355,-69.9575982,44.3510748
37,N Campers Point Rd,Kennebec,04355,-69.9573874,44.3512296
39,N Campers Point Rd,Kennebec,04355,-69.9573778,44.3514097
41,N Campers Point Rd,Kennebec,04355,-69.9573689,44.3516304
43,N Campers Point Rd,Kennebec,04355,-69.9572219,44.3518522
45,N Campers Point Rd,Kennebec,04355,-69.9577443,44.3519558
49,N Campers Point Rd,Kennebec,04355,-69.9583862,44.3520765
51,N Campers Point Rd,Kennebec,04355,-69.9589643,44.3521347
36,Chandler Dr,Kennebec,04355,-69.9588052,44.3696917
48,Chandler Dr,Kennebec,04355,-69.958641,44.3688603
51,Chandler Dr,Kennebec,04355,-69.9595619,44.3687625
52,Chandler Dr,Kennebec,04355,-69.9588859,44.3684846
56,Chandler Dr,Kennebec,04355,-69.959195,44.3681984
20,Chickadee Ln,Kennebec,04355,-69.9641998,44.3775823
3,Coleman Ln,Kennebec,04355,-69.9517755,44.3827911
5,Coleman Ln,Kennebec,04355,-69.9522074,44.38272
17,Colony Rd,Kennebec,04355,-69.9505029,44.3665965
22,Colony Rd,Kennebec,04355,-69.9499795,44.3660517
10,Hunts Ln,Kennebec,04355,-69.9593775,44.3866798
16,Hunts Ln,Kennebec,04355,-69.9598359,44.3863023
24,Hunts Ln,Kennebec,04355,-69.9595556,44.3856655
50,Lakeview Dr,Kennebec,04355,-69.9614566,44.3771688
64,Lakeview Dr,Kennebec,04355,-69.9603289,44.3769127
70,Lakeview Dr,Kennebec,04355,-69.9595284,44.3766988
111,Maces Cottage Rd,Kennebec,04355,-69.9506659,44.3813284
133,Maces Cottage Rd,Kennebec,04355,-69.950775,44.3799276
137,Maces Cottage Rd,Kennebec,04355,-69.9506699,44.3796403
95,Macomber Rd,Kennebec,04355,-69.9593773,44.3670625
109,Maranacook Shore Rd,Kennebec,04355,-69.9571982,44.372361
117,Maranacook Shore Rd,Kennebec,04355,-69.9562921,44.3725982
137,Maranacook Shore Rd,Kennebec,04355,-69.9572589,44.3741566
140,Maranacook Shore Rd,Kennebec,04355,-69.9576752,44.373901
