Longitude,Latitude,Altitude
-69.961102,44.360943,66.654618
-69.960948,44.360784,64.114766
-69.960978,44.360645,64.036501
-69.961109,44.360534,64.236646
-69.961303,44.360438,65.264344
-69.961419,44.360252,65.170735
-69.961531,44.360021,65.640188
-69.961736,44.359851,65.855506
-69.961922,44.359673,65.777533
-69.962209,44.359481,64.471557
-69.962418,44.359329,65.346699
-69.962686,44.359151,66.935382
-69.962716,44.358946,64.673051
-69.962738,44.35873,64.036779
-69.962757,44.358515,64.469032
-69.962946,44.35831,67.319021
-69.963164,44.358061,65.436496
-69.963319,44.357809,64.607355
-69.963391,44.357598,64.549847
-69.963424,44.357313,64.08458
-69.963602,44.357042,67.137198
-69.963669,44.356745,67.680826
-69.963654,44.356519,66.303783
-69.963632,44.356186,65.017913
-69.963631,44.355831,64.98804
-69.963718,44.355522,67.237638
-69.96381,44.35523,66.724696
-69.963859,44.354926,66.047835
-69.96393,44.354709,67.921441
-69.964054,44.354507,68.52397
-69.963992,44.354304,64.621111
-69.963719,44.354149,64.938517
-69.963445,44.354059,64.392358
-69.963149,44.353969,64.588131
-69.96279,44.353887,64.5006
-69.96252,44.353878,64.994411
-69.962186,44.353919,68.037512
-69.962034,44.354164,67.491512
-69.961992,44.354507,72.417757
-69.961915,44.354827,71.861977
-69.961702,44.355101,70.576371
-69.961536,44.355374,67.373422
-69.961297,44.35564,68.692987
-69.961086,44.35588,68.300035
-69.960928,44.356214,67.718472
-69.960823,44.35641,64.45641
-69.960517,44.356378,64.036451
-69.960257,44.356334,64.914612
-69.960159,44.35623,66.597011
-69.960037,44.356115,64.036699
-69.960016,44.355995,64.036758
-69.960189,44.355875,68.552521
-69.960144,44.355652,66.233786
-69.960141,44.355444,65.808835
-69.96023,44.355269,68.369745
-69.96027,44.355067,69.042326
-69.960236,44.35485,68.820674
-69.96003,44.354674,64.036698
-69.960118,44.354453,66.818678
-69.960142,44.354139,67.170573
-69.960024,44.353974,64.452171
-69.95975,44.353825,64.118888
-69.959472,44.353719,69.968357
-69.959283,44.353585,67.748356
-69.959242,44.353185,65.079313
-69.959613,44.353042,65.317804
-69.959844,44.352885,64.853011
-69.960096,44.352749,67.035906
-69.959633,44.352509,66.717366
-69.959036,44.352324,70.574132
-69.958209,44.352235,67.912299
-69.957734,44.352185,69.557566
-69.95727,44.352127,67.741244
-69.957113,44.351621,65.766884
-69.957162,44.351152,66.953138
-69.957273,44.350771,65.454349
-69.95745,44.350484,64.733714
-69.957546,44.350253,67.153671
-69.957378,44.349974,67.406145
-69.957059,44.349941,64.548833
-69.956703,44.350029,65.227252
-69.956311,44.350135,72.589961
-69.956123,44.349809,66.184339
-69.956158,44.349575,67.898421
-69.956382,44.349242,64.871576
-69.956514,44.348914,64.462377
-69.956603,44.348582,64.417426
-69.956721,44.348178,64.036572
-69.956873,44.347702,64.037068
-69.957008,44.347399,64.684068
-69.957192,44.347082,64.632685
-69.957255,44.346838,64.587939
-69.957353,44.346588,64.186397
-69.957341,44.346178,64.568196
-69.957266,44.345846,64.465791
-69.957303,44.345472,64.670098
-69.957525,44.34522,66.341676
-69.957531,44.344763,65.825489
-69.957721,44.344356,65.24349
-69.95782,44.344074,64.315559
-69.958034,44.343739,64.498556
-69.958044,44.343428,65.219219
-69.958256,44.34308,66.985931
-69.95847,44.34263,65.107778
-69.958604,44.342421,66.145192
-69.958759,44.342114,64.620166
-69.958656,44.341777,65.031291
-69.95849,44.34154,66.258815
-69.958648,44.341183,64.957072
-69.958913,44.340892,64.811527
-69.959105,44.340631,64.677488
-69.959151,44.340333,64.312385
-69.959261,44.339969,64.036308
-69.959382,44.339681,64.036685
-69.959478,44.339349,64.787756
-69.959436,44.339084,64.036542
-69.959465,44.338845,64.03654
-69.959764,44.338457,64.036569
-69.959997,44.338176,64.036724
-69.960151,44.337911,64.036551
-69.960234,44.337565,64.036387
-69.960035,44.337348,64.036457
-69.959802,44.33709,64.469671
-69.959866,44.336706,66.379238
-69.959945,44.336494,68.804565
-69.959654,44.336349,64.036565
-69.95926,44.336287,64.202059
-69.958909,44.336259,70.323472
-69.958963,44.335802,69.202537
-69.959191,44.335332,67.324096
-69.959214,44.334973,64.036598
-69.959143,44.334789,64.03634
-69.959414,44.334648,67.541131
-69.959629,44.334424,67.475956
-69.959861,44.33414,69.242425
-69.960062,44.333808,66.509557
-69.960456,44.333413,64.903182
-69.960849,44.333123,64.640444
-69.961136,44.332814,64.608419
-69.961243,44.332505,64.036795
-69.961262,44.332224,64.06777
-69.961359,44.332061,64.036422
-69.96179,44.332125,65.094039
-69.962131,44.332089,65.312738
-69.962439,44.331864,64.222366
-69.962731,44.33164,65.153305
-69.962965,44.33148,66.060299
-69.963478,44.331395,64.839811
-69.963899,44.331479,64.499492
-69.964009,44.331676,64.609947
-69.964129,44.331971,65.980785
-69.964443,44.331747,65.79794
-69.964713,44.331453,64.586238
-69.964929,44.33113,65.512072
-69.965204,44.330911,65.207001
-69.965674,44.330763,65.315124
-69.965897,44.330771,66.206594
-69.966536,44.330873,67.279139
-69.967168,44.330944,68.25356
-69.967448,44.331078,67.749307
-69.967658,44.331088,67.307075
-69.967741,44.330784,67.240627
-69.967888,44.330592,67.446399
-69.967886,44.330302,68.9073
-69.967752,44.329933,68.293081
-69.967635,44.32966,68.175146
-69.967329,44.329563,67.931824
-69.967557,44.328904,64.791618
-69.96787,44.328318,67.07182
-69.968204,44.327922,68.221981
-69.968419,44.327592,66.11729
-69.968683,44.327194,66.560234
-69.968663,44.326862,64.454842
-69.968846,44.3267,64.269521
-69.969204,44.326406,64.48902
-69.969447,44.326161,64.036503
-69.969894,44.325976,65.750555
-69.97038,44.325747,67.603411
-69.970599,44.325584,66.055127
-69.970831,44.32538,65.780313
-69.971454,44.324633,64.794808
-69.971903,44.324139,64.902765
-69.972349,44.32364,65.503667
-69.972835,44.322991,65.809009
-69.97312,44.322358,64.60077
-69.973429,44.321906,65.239218
-69.973681,44.321321,64.867356
-69.9738,44.320818,64.515388
-69.973974,44.320375,64.930279
-69.974099,44.319753,65.149863
-69.974286,44.319225,67.127241
-69.974353,44.318719,65.275137
-69.974497,44.318199,65.628571
-69.974617,44.317927,65.277662
-69.974755,44.317522,65.526244
-69.974857,44.317004,64.47856
-69.974976,44.316553,65.473575
-69.975071,44.316157,67.544131
-69.975171,44.315826,67.249303
-69.975305,44.315289,64.333757
-69.975425,44.314914,64.512518
-69.975698,44.314773,66.422788
-69.97586,44.314487,67.127424
-69.975955,44.314198,66.688369
-69.976025,44.313956,66.412749
-69.975897,44.313793,66.682637
-69.975628,44.313712,65.135844
-69.975682,44.313191,64.820154
-69.975768,44.312681,65.496397
-69.975826,44.312331,65.371273
-69.97584,44.312057,64.714748
-69.975861,44.311728,64.59694
-69.975965,44.311362,64.889143
-69.976213,44.311324,65.890938
-69.97636,44.31122,65.887104
-69.976364,44.310931,65.309447
-69.976331,44.310666,65.273118
-69.976141,44.310553,65.292155
-69.976028,44.310239,64.564883
-69.976002,44.310015,64.71358
-69.976117,44.3098,64.400265
-69.976178,44.309624,64.586607
-69.976185,44.309431,64.737137
-69.976111,44.309305,64.714301
-69.975938,44.309219,64.760299
-69.975694,44.309156,64.753093
-69.975476,44.309136,64.381769
-69.975146,44.309146,64.506753
-69.974907,44.309243,64.382805
-69.974681,44.309223,64.687926
-69.974468,44.309374,65.343467
-69.974384,44.309577,65.050629
-69.974272,44.309745,65.151318
-69.974156,44.30987,65.450227
-69.974019,44.309996,65.136085
-69.973916,44.310117,65.238817
-69.974005,44.310212,64.917862
-69.974214,44.310274,64.261445
-69.974255,44.310417,64.036634
-69.974048,44.310559,64.050112
-69.973765,44.310622,65.067273
-69.973459,44.310684,64.206865
-69.973199,44.310642,64.296444
-69.973068,44.310555,64.627458
-69.972961,44.310375,64.436167
-69.972954,44.310224,64.700533
-69.972917,44.309971,66.325942
-69.97276,44.309839,64.47969
-69.972598,44.309983,64.281977
-69.972401,44.310323,64.510485
-69.972198,44.310703,65.121487
-69.971874,44.311018,64.925299
-69.971642,44.311138,64.344482
-69.971191,44.311166,65.284445
-69.970723,44.311278,65.027929
-69.970289,44.311479,65.382645
-69.970028,44.311716,65.735321
-69.969796,44.312116,67.016931
-69.969737,44.312412,68.509182
